French,English
partie,part
seulement,only
police,police
demande,request
genre,kind
mois,month
frère,brother
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
parlé,speak
devrait,should
bébé,baby
longtemps,long time
vont,will
pendant,while
revoir,meet again
parle,speak
compris,understood
savais,knew
pourrais,could
donner,give
type,type
donné,given
train,train
corps,body
endroit,place
façon,way
écoute,listen
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
venez,come
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
donne,given
loin,far
fin,end
croire,believe
plutôt,rather
aura,will have
filles,girls
bureau,office
